Mean ,SD,Variance,Kurtosis,Median,Mode,sum,Skewness ,max,min,range,RMS, Impulse Factor,Shape factor,k factor,Std error,count,condition 
0.010008,0.632552,0.400122,6.625486,0.015662,-0.089227,120.094228,-0.096515,3.95284,-4.739777,8.692617,0.632605,394.973884,63.210867,2.500587,0.005774,12000,C
0.01069,0.623229,0.388414,7.187847,0.02194,0.103558,128.28087,-0.179026,4.5016,-4.956555,9.458155,0.623295,421.100946,58.305932,2.805823,0.005689,12000,C
0.009976,0.705534,0.497778,5.92704,0.012895,-0.037584,119.712203,-0.143256,3.677866,-4.312349,7.990214,0.705575,368.670745,70.727109,2.595009,0.006441,12000,C
0.009208,0.609809,0.371867,6.127393,0.017387,-0.0424,110.499092,-0.18735,3.883576,-3.890634,7.77421,0.609853,421.749271,66.228939,2.368411,0.005567,12000,C
0.010484,0.745257,0.555408,6.261338,0.022356,-0.020693,125.810144,-0.273556,4.182888,-4.309195,8.492083,0.7453,398.971493,71.088032,3.117505,0.006803,12000,C
0.009877,0.674645,0.455146,7.189895,0.018042,0.038415,118.520844,-0.289862,4.800377,-5.224805,10.025182,0.674689,486.028588,68.310962,3.238763,0.006159,12000,C
0.010576,0.606993,0.368441,7.38764,0.015483,-0.023597,126.909567,-0.143896,4.364559,-4.873664,9.238222,0.60706,412.693103,57.400872,2.649549,0.005541,12000,C
0.010226,0.600744,0.360894,7.906531,0.014888,-0.072556,122.712468,-0.228769,4.436977,-4.67319,9.110167,0.600806,433.890064,58.752599,2.665764,0.005484,12000,C
0.009752,0.692183,0.479117,6.169205,0.009592,-0.053547,117.025413,-0.139033,4.0227,-4.212142,8.234841,0.692223,412.494992,70.981797,2.784605,0.006319,12000,C
0.01017,0.791729,0.626835,5.625336,0.015632,0.061817,122.042913,-0.212513,4.152362,-4.644508,8.79687,0.791761,408.285448,77.850772,3.287679,0.007227,12000,C
0.009707,0.642261,0.412499,6.85987,0.011496,-0.061243,116.485698,-0.021346,4.724031,-4.390777,9.114808,0.642307,486.655216,66.168527,3.034279,0.005863,12000,C
0.010372,0.701085,0.49152,6.207462,0.013311,-0.035772,124.462583,-0.105392,5.072674,-3.968824,9.041497,0.701132,489.079374,67.599325,3.556615,0.0064,12000,C
0.0109,0.732354,0.536342,6.003679,0.0195,0.024635,130.800093,-0.045469,4.250249,-4.286345,8.536594,0.732404,389.930786,67.192998,3.1129,0.006685,12000,C
0.010671,0.776817,0.603445,5.689231,0.014025,0.006246,128.054868,-0.084457,4.495233,-4.221246,8.716479,0.776858,421.247482,72.799226,3.492157,0.007091,12000,C
0.010606,0.68291,0.466366,6.933441,0.021404,-0.055223,127.26779,-0.22104,4.366284,-5.351314,9.717598,0.682964,411.6942,64.396248,2.982015,0.006234,12000,C
0.010538,0.71066,0.505038,6.42651,0.013758,-0.017684,126.455064,-0.185342,4.469348,-4.782263,9.251611,0.710709,424.120399,67.442946,3.176403,0.006487,12000,C
0.008606,0.572703,0.327988,8.763834,0.00864,-0.01273,103.274237,-0.11577,4.64358,-4.397799,9.041378,0.572743,539.562991,66.5502,2.65958,0.005228,12000,C
0.009416,0.514553,0.264765,9.530042,0.007688,-0.04117,112.988681,0.037265,3.994554,-3.69254,7.687094,0.514618,424.242881,54.655169,2.055669,0.004697,12000,C
0.007163,0.522831,0.273352,9.954816,0.011229,0.07196,85.96041,0.166383,4.30541,-4.077659,8.383069,0.522858,601.031591,72.990504,2.251117,0.004773,12000,C
0.008926,0.526194,0.27688,12.072448,0.013281,0.054862,107.106805,0.252855,4.672083,-4.655636,9.327719,0.526247,523.449407,58.959559,2.458672,0.004803,12000,C
